"Var1","Freq","prop","sample"
"DC_Mast",326,0.0032614676604472,"TCGA-AO-A12D"
"Macrophage",1386,0.0138662398079136,"TCGA-AO-A12D"
"Malignant",77246,0.772807763493572,"TCGA-AO-A12D"
"Myoepi",9127,0.0913110899904957,"TCGA-AO-A12D"
"Plasma",74,0.000740333149917463,"TCGA-AO-A12D"
"Stromal",11448,0.114531539192637,"TCGA-AO-A12D"
"T",295,0.00295132809764394,"TCGA-AO-A12D"
"unassigned",20,0.000200090040518233,"TCGA-AO-A12D"
"B",12,0.000306897521802511,"TCGA-AO-A12G"
"DC_Mast",2867,0.0733229329173167,"TCGA-AO-A12G"
"Macrophage",8744,0.223625994220097,"TCGA-AO-A12G"
"Malignant",230,0.0058822025012148,"TCGA-AO-A12G"
"Myoepi",222,0.00567760415334646,"TCGA-AO-A12G"
"Stromal",24419,0.624510882074627,"TCGA-AO-A12G"
"T",1764,0.0451139357049692,"TCGA-AO-A12G"
"unassigned",843,0.0215595509066264,"TCGA-AO-A12G"
"B",383,0.0038316859418144,"TCGA-AQ-A04L"
"DC_Mast",1230,0.0123054143823282,"TCGA-AQ-A04L"
"Macrophage",10866,0.108707831445836,"TCGA-AQ-A04L"
"Malignant",37832,0.378486534074993,"TCGA-AQ-A04L"
"Myoepi",9131,0.0913501940853976,"TCGA-AQ-A04L"
"Plasma",550,0.00550242106526872,"TCGA-AQ-A04L"
"Stromal",26487,0.264986594101405,"TCGA-AQ-A04L"
"T",13422,0.13427908279643,"TCGA-AQ-A04L"
"unassigned",55,0.000550242106526872,"TCGA-AQ-A04L"
"B",161,0.00161051536491677,"TCGA-AQ-A0Y5"
"DC_Mast",413,0.00413132202304738,"TCGA-AQ-A0Y5"
"Macrophage",7513,0.0751540492957746,"TCGA-AQ-A0Y5"
"Malignant",56949,0.569672295134443,"TCGA-AQ-A0Y5"
