"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","AES","All Genes","Hist2ST",0.10737764995938,1.17403482052514,0.0878434729381947,0.0825176042833373,0.106233923422967,0.655370850311381
"test","AES","All Genes","ST-Net",0.226921191435881,1.74900648313039,0.158600133038622,0.0951902339976136,0.211410976784001,0.610537897006105
"test","AES","All Genes","THItoGene",0.0830273552839638,1.23171531404178,0.088998100399966,0.0764853276503348,0.0838432051288294,0.628785634129186
"test","AES","All Genes","iStar",0.103578838673176,2.02807220144729,0.259486829370889,0.0446289252976562,0.101496151742221,0.53836349368618
"test","AES","SVGs","DeepPT",0.290761304026775,1.22533006309206,0.140203834718423,0.103137265296142,0.283595139346438,0.614343656697168
"test","AES","SVGs","DeepSpaCE",0.064259440118424,1.18960121106639,0.0894543177334428,0.0552006907696488,0.0727197391937707,0.578464870501376
"test","AES","SVGs","GHIST",0.28143238618551,1.33609623019879,0.0906572011815642,0.0989121796090232,0.279103640824912,0.608669612033622
"test","AES","SVGs","GeneCodeR",0.169312882845914,1.37769339687378,0.152678639804431,0.073086633954631,0.121178335140501,0.607983139773703
"test","AES","SVGs","HisToGene",0.08209567128978,1.16141201521029,0.0730613178129982,0.0792676623380499,0.084045736153317,0.616574690720785
"test","AES","SVGs","Hist2ST",0.0968590816235525,1.19871774327404,0.0736324146632747,0.0865694891615256,0.097169711465401,0.658496628452496
"test","AES","SVGs","ST-Net",0.235731083349399,1.65440562473417,0.144987087182415,0.101855092748751,0.219093836972543,0.61449243683539
"test","AES","SVGs","THItoGene",0.0729878162823409,1.28773516840856,0.0748538397142015,0.0812921538825394,0.0755425475172043,0.632170037978058
"test","AES","SVGs","iStar",0.0748872622555166,2.05508666463398,0.260867588870892,0.0448442504411486,0.0763273360262868,0.522203552803642
"test","AGAP2","All Genes","DeepPT",0.0493574863033432,1.36698360755077,0.782117657106568,0.0247950841357744,0.0135295734816556,0.549394358695008
"test","AGAP2","All Genes","DeepSpaCE",0.00925202128060433,1.02785056148239,0.805258787725929,0.0267718889965346,0.00379507937595671,0.519972067277269
"test","AGAP2","All Genes","GeneCodeR",0.0221057208292164,1.05416647925357,0.760106956937969,0.027444063015624,0.00648464015509572,0.526665393883148
"test","AGAP2","All Genes","HisToGene",0.0104261402412182,1.02950427557849,0.753402121476954,0.0254878275566123,0.00908310555279619,0.51585968061322
"test","AGAP2","All Genes","Hist2ST",0.0407626891279797,1.06249531642627,0.751118274544857,0.0350094546172726,0.0113112325491683,0.566273534491406
"test","AGAP2","All Genes","ST-Net",0.0650586613996404,1.09702898536253,0.751206500891149,0.0333484899389222,0.0190514041460716,0.560549193230603
"test","AGAP2","All Genes","THItoGene",0.00852483255667693,1.04299499802067,0.764444999877615,0.0308583430052865,0.00575815482016446,0.521395588659234
"test","AGAP2","All Genes","iStar",0.025855067711297,1.37924704589712,0.835593591266852,0.0229030795148874,0.0355519704654091,0.55063030889552
"test","AGO2","All Genes","DeepPT",0.0733085345710524,1.45184200883632,0.69475924400721,0.0334736547912884,0.0346784057446103,0.54805795164208
"test","AGO2","All Genes","DeepSpaCE",0.0699325648657228,1.0635694524342,0.71005149431806,0.0341509242017097,0.0285528147866848,0.61049707357274
"test","AGO2","All Genes","GHIST",0.19236895760052,1.25583586663029,0.642138548303855,0.0157483909379528,0.0351070634098779,0.545967455489062
"test","AGO2","All Genes","GeneCodeR",0.0812146963921002,1.17759805120865,0.66839025568683,0.0278873164876219,0.0319684583345028,0.563909410214758
"test","AGO2","All Genes","HisToGene",0.11901411454057,1.14685779396587,0.654694713345324,0.0466738147888807,0.0580307879334845,0.626772941043022
"test","AGO2","All Genes","Hist2ST",0.136362413928983,1.0276313666088,0.630209799626607,0.0614225372562015,0.063883377455076,0.648745818960923
