"","x_cord","y_cord","group_broad_type"
"cell1149",573.4912,327.61404,"Myoepi"
"cell1150",496.0909,329.5303,"Myoepi"
"cell1151",37,328.4565,"Myoepi"
"cell1152",335.80435,327.71738,"Stromal"
"cell1154",622.28864,331.26547,"Malignant"
"cell1156",558,330.3758,"Malignant"
"cell1157",95.93644,330.97882,"Malignant"
"cell1160",351.24295,333.59323,"Malignant"
"cell1162",48.356163,329.8904,"Myoepi"
"cell1165",156.18556,331.58762,"Malignant"
"cell1167",539.2909,328.1091,"Myoepi"
"cell1169",476.74667,333.58667,"Stromal"
"cell1171",253.004,336.612,"Malignant"
"cell1172",164.91667,331.89285,"Malignant"
"cell1173",569.78687,333.29507,"Myoepi"
"cell1175",321.54022,335.0345,"Macrophage"
"cell1176",487.71875,331.71875,"Myoepi"
"cell1178",143.85185,333.21295,"Malignant"
"cell1180",500.9125,336.4875,"Malignant"
"cell1182",28.395744,335.52765,"Malignant"
"cell1183",239.02162,337.53513,"Malignant"
"cell1185",44.116882,336.487,"Malignant"
"cell1187",84.093025,338.7093,"Malignant"
"cell1190",525.0917,336.46704,"Myoepi"
"cell1191",18.551723,338.6069,"Malignant"
"cell1192",131.35228,340.375,"Stromal"
"cell1194",225.35359,341.9171,"Malignant"
"cell1195",491.76746,336.44186,"Myoepi"
